UniProt	GeneSym
P32929	CTH
A4D0Y5	C7orf77
Q49A92	C8orf34
Q9UFW8	CGGBP1
Q96K31	C8orf76
O14646	CHD1
Q8IWX8	CHERP
Q99653	CHP1
O94983	CAMTA2
Q8NA66	CNBD1
Q96M20	CNBD2
Q86VU5	COMTD1
P42695	NCAPD3
Q8IYT2	CMTR2
Q9NSA3	CTNNBIP1
Q96KP4	CNDP2
Q13956	PDE6H
O95476	CTDNEP1
Q9BYD5	CNFN
Q969H4	CNKSR1
Q6P9H4	CNKSR3
O95406	CNIH1
Q3B7I2	CNPY1
P18545	PDE6G
Q9P232	CNTN3
Q6PJW8	CNST
P26992	CNTFR
Q9NXG0	CNTLN
Q8N8G6	C15orf54
Q8N910	C15orf56
H3BRN8	C15orf65
Q01955	COL4A3
P06681	C2
P27658	COL8A1
P02461	COL3A1
P0C0L5	C4B
P20908	COL5A1
P25940	COL5A3
Q9H4G8	DPH3P1
P02748	C9
Q9GZY4	COA1
P10643	C7
Q7L8W6	DPH6
Q9BTV6	DPH7
Q13057	COASY
P00414	MT-CO3
Q9NRP2	CMC2
O60397	COX7A2P2
Q6UWD8	C16orf54
Q6ZW13	C16orf86
O43174	CYP26A1
P22680	CYP7A1
P05177	CYP1A2
O43809	NUDT21
Q02318	CYP27A1
Q16678	CYP1B1
Q6UW02	CYP20A1
P10635	CYP2D6
P05813	CRYBA1
Q9NQ79	CRTAC1
P43320	CRYBB2
Q96RY5	CRAMP1
O94985	CLSTN1
Q9GZN8	C20orf27
Q8N8Q3	ENDOV
Q9H4G1	CST9L
Q5W188	CST9LP1
Q5W186	CST9
Q9HC47	CTAGE1
Q96RT6	CTAGE1
Q8IX95	CTAGE3P
Q53GD3	SLC44A4
O43310	CTIF
Q8NCS7	SLC44A5
Q8WVB6	CHTF18
P26232	CTNNA2
A4FU28	CTAGE9
P29279	CTGF
P52569	SLC7A2
Q8WZ74	CTTNBP2
Q7RTX7	CATSPER4
Q9N2K0	null
O42043	ERVK-18
Q6ZRH7	CATSPERG
Q9NTU4	CATSPERZ
Q69384	ERVK-6
P61567	ERVK-7
Q902F8	ERVK-8
Q9H0I2	ENKD1
P58513	LINC00158
P58512	LINC01547
Q8TCZ7	LINC00308
P59091	LINC00315
O60494	CUBN
A0A1B0GTU2	CTXND1
A0A1B0GV90	CTXND2
O60888	CUTA
P06733	ENO1
P39880	CUX1
Q6ZV56	C22orf34
P13929	ENO3
P09104	ENO2
Q02221	COX6A2
P14854	COX6B1
Q969M2	GJA10
P48165	GJA8
P35212	GJA4
O95452	GJB6
P19876	CXCL3
P08034	GJB1
P80162	CXCL6
P02775	PPBP
O75712	GJB3
Q96KN9	GJD4
P25025	CXCR2
A6NN92	GJE1
P61073	CXCR4
P00167	CYB5A
Q9BQA9	CYBC1
Q9HB71	CACYBP
P00156	MT-CYB
P00403	MT-CO2
Q7Z7K0	CMC1
O14548	COX7A2L
P10632	CYP2C8
P51589	CYP2J2
Q86X59	C17orf82
A8MU93	C17orf100
Q96SQ9	CYP2S1
O75718	CRTAP
O75462	CRLF1
Q9HC73	CRLF2
P02489	CRYAA
Q9Y2W7	KCNIP3
P0DML2	CSH1
Q9BV81	EMC6
Q9Y3B6	EMC9
P50402	EMD
P15509	CSF2RA
Q99062	CSF3R
Q96A84	EMID1
Q8WXE0	CASKIN2
Q7L5N1	COPS6
Q9UBW8	COPS7A
Q99708	RBBP8
P35221	CTNNA1
Q8WWI5	SLC44A1
A4D2H0	CTAGE15
Q13618	CUL3
Q13619	CUL4A
Q9NTM9	CUTC
O14529	CUX2
P19875	CXCL2
P42830	CXCL5
P32302	CXCR5
Q9NTQ9	GJB4
O43927	CXCL13
O95715	CXCL14
Q6UXB2	CXCL17
O15255	RTL8C
P49447	CYB561
P04839	CYBB
Q53TN4	CYBRD1
O95674	CDS2
Q5SZL2	CEP85L
Q2WEN9	CEACAM16
A8MTB9	CEACAM18
Q9UPV0	CEP164
A6NDU8	C5orf51
Q03701	CEBPZ
Q9HCU4	CELSR2
Q711Q0	CEFIP
Q16739	UGCG
Q96LK0	CEP19
Q9BS16	CENPK
P07199	CENPB
Q9NYQ6	CELSR1
Q9BU64	CENPO
O15182	CETN3
Q4VX62	C6orf99
Q6ZQR2	CFAP77
Q6P656	CFAP161
Q8IZ16	C7orf61
Q6ZUL3	C8orf86
E5RJ46	C8orf87
Q96KT6	LINC00208
Q96MT7	CFAP44
Q8N6G5	CSGALNACT2
Q8N1V2	CFAP52
Q96NF6	C8orf49
Q5T655	CFAP58
P61604	HSPE1
P09622	DLD
Q9BUK0	CHCHD7
Q12873	CHD3
Q8TBE1	CNIH3
Q8IV77	CNGA4
Q9P003	CNIH4
Q14028	CNGB1
P04440	HLA-DPB1
P51911	CNN1
Q86SG4	HMGN2P46
Q9NRU3	CNNM1
Q9BV87	CNPPD1
O75175	CNOT3
O95628	CNOT4
P21554	CNR1
Q9UHC6	CNTNAP2
Q9UFF9	CNOT8
Q92600	CNOT9
Q8N137	CNTROB
Q7Z7A1	CNTRL
A6NNL5	C15orf61
Q9BZG8	DPH1
P07358	C8B
P01024	C3
Q14055	COL9A2
P12109	COL6A1
P12111	COL6A3
A8TX70	COL6A5
A6NMZ7	COL6A6
P13671	C6
Q9H2P9	DPH5
O60762	DPM1
O94777	DPM2
Q9P2X0	DPM3
Q9H8M1	COQ10B
Q10570	CPSF1
Q8TEY5	CREB3L4
Q7Z7G2	CPLX4
Q07973	CYP24A1
Q8N1N5	CRIPAK
P60606	CTXN1
Q4LDR2	CTXN3
Q2VPK5	CTU2
Q96M42	LINC00479
Q6ZN03	LINC00322
P58505	C21orf58
Q9NV44	LINC00846
P59036	LINC00310
P59037	LINC00313
P59089	LINC00205
Q9UJ94	LINC00527
Q13616	CUL1
Q8IWT3	CUL9
Q7L5Y1	ENOSF1
P0DO92	T-ENOL
Q9NXE8	CWC25
Q9UHY7	ENOPH1
Q9HAI6	CXorf21
Q8N9T2	NKAPP1
Q96LI9	CXorf58
A0A1B0GTR3	CXorf51A
P0DPH9	CXorf51B
Q8N2A0	LINC00269
A6NEN9	CXorf65
Q16206	ENOX2
P49238	CX3CR1
P12074	COX6A1
P24310	COX7A1
P14406	COX7A2
Q6YFQ2	COX6B2
P17302	GJA1
P36382	GJA5
P57773	GJA9
P78310	CXADR
Q6PEY0	GJB7
P29033	GJB2
Q8N144	GJD3
O95377	GJB5
O14625	CXCL11
P49682	CXCR3
Q7LFL8	CXXC5
Q9P0U4	CXXC1
P13498	CYBA
O43169	CYB5B
P99999	CYCS
Q9NQC7	CYLD
Q5TYM5	FAM72A
H0Y354	FAM72C
Q86UY5	FAM83A
Q5TA50	CPTP
Q9UNU6	CYP8B1
P33261	CYP2C19
P11509	CYP2A6
O14810	CPLX1
Q8N436	CPXM2
Q8IZJ3	CPAMD8
Q9Y4K1	CRYBG1
Q9Y262	EIF3L
Q6WN34	CHRDL2
Q96D31	ORAI1
Q8TCG5	CPT1C
P23508	MCC
Q9UGL9	CRCT1
Q8IUH2	CREG2
Q494W8	CHRFAM7A
P02741	CRP
Q9H336	CRISPLD1
Q5TZA2	CROCC
Q5IJ48	CRB2
Q9BUF7	CRB3
O43186	CRX
O60716	CTNND1
Q9UQB3	CTNND2
Q9UBT7	CTNNAL1
Q8N4M1	SLC44A3
Q8WY07	SLC7A3
Q05D32	CTDSPL2
Q8NEC5	CATSPER1
Q86XQ3	CATSPER3
Q99895	CTRC
Q9H7T0	CATSPERB
