Resource	Resource ShortName	Dataset	Description	Evidence	Evidence Category	Measurement Bias	Association	Biological Entities	Biological Entity Category	Category	Attribute	IDG-Reactome Category	Included in Reactome-IDG	Notes
Achilles		Cell Line Gene Essentiality Profiles	fitness scores for cell lines following single gene knockdowns	relative cell prolifertaion	primary experimental data	"high throughput, data driven"	gene-cell line assocaions by sensitivty of cell line to gene knockdown	cell lines	"cell line, cell type or tissue"	disease or phenotype associations	cell line	association	true	
Allen Brain Atlas		Adult Human Brain Tissue Gene Expression Profiles	mRNA expression profiles for 6 adult human brain tissue samples spanning ~300 brain structures	gene expression by microarray	primary experimental data	"high throughput, data driven"	gene-tissue associations by differential expression of gene across tissues	tissues	"cell line, cell type or tissue"	transcriptomics	tissue	association	false	No gene expression will be included
Allen Brain Atlas		Adult Mouse Brain Tissue Gene Expression Profiles	mRNA expression profiles for adult mouse brain tissues spanning ~2000 anatomically defined brain structures	gene expression by in situ hybridization	primary experimental data	"high throughput, data driven"	gene-tissue associations by differential expression of gene across tissues	tissues	"cell line, cell type or tissue"	transcriptomics	tissue	association	false	mouse genes have been mapped to human genes somehow. Guess just capsize the mouse genes? Focus on human
Allen Brain Atlas		Developing Human Brain Tissue Gene Expression Profiles by Microarray	mRNA expression profiles for human brain tissue samples spanning 27 time points and 26 brain structures	gene expression by microarray	primary experimental data	"high throughput, data driven"	gene-tissue associations by differential expression of gene across tissue samples	tissue samples	"cell line, cell type or tissue"	transcriptomics	tissue sample	association	false	time points. Not used since there is another RNA-seq data avaible.
Allen Brain Atlas		Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	mRNA expression profiles for human brain tissue samples spanning 31 time points and 26 brain structures	gene expression by RNA-seq	primary experimental data	"high throughput, data driven"	gene-tissue associations by differential expression of gene across tissue samples	tissue samples	"cell line, cell type or tissue"	transcriptomics	tissue sample	association	false	time points
Allen Brain Atlas		Prenatal Human Brain Tissue Gene Expression Profiles	mRNA expression profiles for 4 human prenatal brain tissue samples spanning 4 time points and ~300 brain structures	gene expression by microarray	primary experimental data	"high throughput, data driven"	gene-tissue associations by differential expression of gene across tissues	tissues	"cell line, cell type or tissue"	transcriptomics	tissue	association	false	
Biocarta		Pathways	sets of proteins participating in pathways	association by literature curation	curated liteature	"low throughput, hypothesis driven"	protein-pathway associations from curated pathways	pathways	"functional term, phrase or reference"	structural or functional annotations	pathway	interaction-curated	false	The data quality may not be good.
BioGPS		Cell Line Gene Expression Profiles	mRNA expression profiles for the NCI-60 panel of cancer cell lines	gene expression by microarray	primary experimental data	"high throughput, data driven"	gene-cell line assocaions by differential expression of gene across cell lines	cell lines	"cell line, cell type or tissue"	transcriptomics	cell line	association	false	gene expression
BioGPS		Human Cell Type and Tissue Gene Expression Profiles	mRNA expression profiles for human tissues and cell types	gene expression by microarray	primary experimental data	"high throughput, data driven"	gene-cell line assocaions by differential expression of gene across cell types and tissues	cell lines	"cell line, cell type or tissue"	transcriptomics	cell type or tissue	association	false	
BioGPS		Mouse Cell Type and Tissue Gene Expression Profiles	mRNA expression profiles for mouse tissues and cell types	gene expression by microarray	primary experimental data	"high throughput, data driven"	gene-cell line assocaions by differential expression of gene across cell types and tissues	cell lines	"cell line, cell type or tissue"	transcriptomics	cell type or tissue	association	false	
Cancer Cell Line Encyclopedia	CCLE	Cell Line Gene CNV Profiles	gene-level copy number variation profiles for cancer cell lines	copy number variation by microarray	primary experimental data	"high throughput, data driven"	gene-cell line associations by copy number variation of gene across cell lines	cell lines	"cell line, cell type or tissue"	genomics	cell line	association	false	check the correlation: not sure about the biological meaning
Cancer Cell Line Encyclopedia	CCLE	Cell Line Gene Mutation Profiles	gene-level mutation profiles for cancer cell lines	gene mutation by hybrid capture sequencing	primary experimental data	"high throughput, data driven"	gene-cell line associations by mutation of gene in cell line	cell lines	"cell line, cell type or tissue"	genomics	cell line	association	false	not sure about the biological meaning
Cancer Cell Line Encyclopedia	CCLE	Cell Line Gene Expression Profiles	mRNA expression profiles for cancer cell lines	gene expression by microarray	primary experimental data	"high throughput, data driven"	gene-cell line assocaions by differential expression of gene across cell lines	cell lines	"cell line, cell type or tissue"	transcriptomics	cell line	association	false	gene expression
Catalogue of Somatic Mutations In Cancer	COSMIC	Cell Line Gene CNV Profiles	gene-level copy number variation profiles for cancer cell lines	copy number variation by microarray	primary experimental data	"high throughput, data driven"	gene-cell line associations by copy number variation of gene across cell lines	cell lines	"cell line, cell type or tissue"	genomics	cell line	association	false	
Catalogue of Somatic Mutations In Cancer	COSMIC	Cell Line Gene Mutation Profiles	gene mutations in cancer cell lines from low-throughput or high-throughput studies	gene mutation by data aggregation	curated experiemental data	mixed	gene-cell line associations by mutation of gene in cell line	cell lines	"cell line, cell type or tissue"	genomics	cell line	association	false	
ChIP-X Enrichment Analysis	CHEA	Transcription Factor Binding Site Profiles	"transcription factor binding site profiles from published ChIP-chip, ChIP-seq, and other transcription factor functional studies"	association by data aggregation	curated experiemental data	mixed	gene-transcription factor binding site profile associations from low-throughput or high-throughput transcription factor functional studies	transcription factor binding site profiles	molecular profile	genomics	transcription factor binding site profile	interaction-htp	true	
ChIP-X Enrichment Analysis	CHEA	Transcription Factor Targets	"target genes of transcription factors from published ChIP-chip, ChIP-seq, and other transcription factor binding site profiling studies"	association by data aggregation	curated experiemental data	mixed	gene-transcription factor binding site profile associations from low-throughput or high-throughput transcription factor functional studies	transcription factors	"gene, protein or microRNA"	genomics	transcription factor	interaction-htp	true	
ClinVar		Gene-Phenotype Associations	SNP-phenotype associations curated by ClinVar users from various sources	genetic association by literature curation	curated liteature	"low throughput, hypothesis driven"	gene-phenotype associations by crowd-sourced curation	phenotypes	"disease, phenotype or trait"	disease or phenotype associations	phenotype	association	true	phenotype
Comparative Toxicogenomics Database	CTD	Gene-Disease Associations	disease-gene interactions curated from literature	association by literature curation	curated liteature	"low throughput, hypothesis driven"	gene-disease associations by manual literature curation	diseases	"disease, phenotype or trait"	disease or phenotype associations	disease	association	true	disease
Comparative Toxicogenomics Database	CTD	Gene-Chemical Interactions	chemical-gene interactions curated from literature	association by literature curation	curated liteature	"low throughput, hypothesis driven"	gene-chemical associations by manual literature curation	chemicals	chemical	physical interactions	chemical	interaction-curated	false	not sure the biological meaning
COMPARTMENTS		Experimental Protein Localization Evidence Scores	protein subcellular localization evidence scores by integrating experimental data	association by data aggregation	curated experiemental data	mixed	protein-cellular component associations by integrating evidence from experimental studies	cellular components	"functional term, phrase or reference"	proteomics	cellular component	association	true	compartment location
COMPARTMENTS		Curated Protein Localization Evidence Scores	protein subcellular localization evidence scores by manual literature curation	association by literature curation	curated liteature	"low throughput, hypothesis driven"	protein-cellular component associations by integrating evidence from manual literature curation	cellular components	"functional term, phrase or reference"	structural or functional annotations	cellular component	association	true	compartment location
COMPARTMENTS		Text-mining Protein Localization Evidence Scores	gene-cellular compartment co-occurrence scores from text-mining biomedical abstracts	association by text-mining	automated text-mining	"low throughput, hypothesis driven"	protein-cellular component associations from automated text-mining of bimedical literature	cellular components	"functional term, phrase or reference"	structural or functional annotations	cellular component	association	true	compartment location
Connectivity Map	CMAP	Signatures of Differentially Expressed Genes for Small Molecules	mRNA expression profiles for cell lines following chemical perturbation	gene expression by microarray	primary experimental data	"high throughput, data driven"	gene-small molecule associations by differential expression of gene following small molecule perturbation	small molecule perturbations	chemical	transcriptomics	small molecule perturbation	association	false	gene expression
